ID,account_id,amount,transaction_data
1,147,38,2025-06-18
2,54,-47,2025-06-18
3,480,-887,2025-06-18
4,473,-34,2025-06-18
5,358,-31,2025-06-18
6,445,2743,2025-06-18
7,249,-33,2025-06-18
8,485,20,2025-06-18
9,331,-65,2025-06-19
10,448,-41,2025-06-19
11,80,-23,2025-06-19
12,339,-23,2025-06-19
13,299,128,2025-06-19
14,29,-16,2025-06-19
15,281,472,2025-06-19
16,470,-34,2025-06-19
17,216,185,2025-06-19
18,216,-14,2025-06-19
19,454,-19,2025-06-19
20,238,-734,2025-06-19
21,500,10,2025-06-19
22,60,-20,2025-06-19
23,14,63,2025-06-19
24,35,44,2025-06-19
25,205,-31,2025-06-19
26,264,-169,2025-06-19
27,142,19,2025-06-19
28,104,48,2025-06-19
29,495,44,2025-06-19
30,429,177,2025-06-19
31,105,-32,2025-06-19
32,434,87,2025-06-19
33,376,-197,2025-06-19
34,491,-200,2025-06-19
35,383,-29,2025-06-19
36,122,-22,2025-06-19
37,409,-36,2025-06-20
38,386,-27,2025-06-20
39,72,649,2025-06-20
40,64,173,2025-06-20
41,184,162,2025-06-20
42,75,20,2025-06-20
43,385,-263,2025-06-20
44,420,-950,2025-06-20
45,431,-93,2025-06-20
46,472,-160,2025-06-20
47,362,-511,2025-06-20
48,35,-22,2025-06-20
49,74,-300,2025-06-20
50,455,-874,2025-06-20
51,250,15,2025-06-20
52,304,-28,2025-06-20
53,248,-5,2025-06-20
54,414,45,2025-06-20
55,390,40,2025-06-20
56,11,-85,2025-06-20
57,107,127,2025-06-20
58,224,-25,2025-06-20
59,391,170,2025-06-20
60,487,-81,2025-06-20
61,151,38,2025-06-20
62,373,-163,2025-06-20
63,227,-63,2025-06-20
64,256,533,2025-06-21
65,86,-86,2025-06-21
66,302,-2791,2025-06-21
67,268,-104,2025-06-21
68,72,765,2025-06-21
69,239,-15,2025-06-21
70,85,-26,2025-06-21
71,186,107,2025-06-21
72,390,241,2025-06-21
73,301,-151,2025-06-21
74,441,-442,2025-06-21
75,316,73,2025-06-21
76,2,-203,2025-06-21
77,34,-5,2025-06-21
78,490,135,2025-06-21
79,284,-17,2025-06-21
80,430,108,2025-06-21
81,371,2904,2025-06-21
82,329,-6,2025-06-21
83,493,13,2025-06-21
84,104,-2276,2025-06-21
85,165,33,2025-06-21
86,2,-6,2025-06-21
87,243,-57,2025-06-21
88,167,9,2025-06-21
89,390,-26,2025-06-21
90,297,114,2025-06-21
91,355,-99,2025-06-22
92,453,-192,2025-06-22
93,424,75,2025-06-22
94,415,-41,2025-06-22
95,363,-25,2025-06-22
96,193,-49,2025-06-22
97,354,-176,2025-06-22
98,254,-36,2025-06-22
99,74,141,2025-06-22
100,59,-974,2025-06-22
101,483,-32,2025-06-22
102,471,-25,2025-06-22
103,496,31,2025-06-22
104,322,35,2025-06-22
105,216,-19,2025-06-22
106,14,-22,2025-06-22
107,2,-50,2025-06-22
108,218,118,2025-06-22
109,458,9,2025-06-22
110,479,32,2025-06-22
111,128,-8,2025-06-22
112,78,-14,2025-06-22
113,250,-31,2025-06-22
114,408,-1451,2025-06-22
115,60,-141,2025-06-22
116,419,-100,2025-06-22
117,413,-431,2025-06-22
118,86,643,2025-06-22
119,221,34,2025-06-23
120,245,-17,2025-06-23
121,461,-62,2025-06-23
122,67,38,2025-06-23
123,322,-612,2025-06-23
124,411,-150,2025-06-23
125,444,15,2025-06-23
126,196,-22,2025-06-23
127,325,-410,2025-06-23
128,270,-17,2025-06-23
129,175,-12,2025-06-23
130,427,19,2025-06-23
131,152,18,2025-06-23
132,340,516,2025-06-23
133,331,-48,2025-06-23
134,121,-84,2025-06-23
135,471,5,2025-06-23
136,6,-30,2025-06-23
